Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Sri Lanka	148	5	3	1	Local transmission	0	Nigeria	174	35	2	0.1
Western Pacific Region	 	 	 	 	 	 	 												
China	 	82802.0	78.0	3331.0	4.0	Local transmission	0.0												
Republic of Korea	 	10062.0	86.0	174.0	5.0	Local transmission	0.0												
Australia	 	5224.0	248.0	23.0	2.0	Local transmission	0.0												
Malaysia	 	3116.0	208.0	50.0	5.0	Local transmission	0.0												
Philippines	 	2633.0	322.0	107.0	11.0	Local transmission	0.0												
Japan	 	2617.0	233.0	65.0	8.0	Local transmission	0.0												
Singapore	 	1049.0	49.0	4.0	1.0	Local transmission	0.0												
New Zealand	 	774.0	51.0	1.0	0.0	Local transmission	0.0												
Viet Nam	 	233.0	15.0	0.0	0.0	Local transmission	0.0												
Brunei Darussalam	 	133.0	2.0	1.0	0.0	Local transmission	0.0												
Cambodia	 	110.0	1.0	0.0	0.0	Local transmission	0.0												
French Polynesia	 	37.0	0.0	0.0	0.0	Local transmission	2.0												
Mongolia	 	14.0	0.0	0.0	0.0	Imported cases only	1.0												
Lao People's Democratic Republic	 	10.0	0.0	0.0	0.0	Local transmission	1.0												
Fiji	 	7.0	2.0	0.0	0.0	Local transmission	0.0												
Papua New Guinea	 	1.0	0.0	0.0	0.0	Imported cases only	13.0												
Territories**	 	 	 	 	 	 	 												
Guam	 	82.0	5.0	3.0	0.0	Local transmission	0.0												
New Caledonia	 	18.0	2.0	0.0	0.0	Local transmission	0.0												
Northern Mariana Islands (Commonwealth of the)	 	8.0	2.0	1.0	1.0	Local transmission	0.0												
European Region	 	 	 	 	 	 	 												
Italy	 	115242.0	4668.0	13917.0	760.0	Local transmission	0.0												
Spain	 	110238.0	8102.0	10003.0	950.0	Local transmission	0.0												
Germany	 	79696.0	6174.0	1017.0	145.0	Local transmission	0.0												
France	 	58327.0	2066.0	4490.0	471.0	Local transmission	0.0												
The United Kingdom	 	33722.0	4244.0	2921.0	389.0	Local transmission	0.0												
Switzerland	 	18844.0	1774.0	536.0	158.0	Local transmission	0.0												
Turkey	 	18135.0	2456.0	356.0	79.0	Local transmission	0.0												
Belgium	 	15348.0	1384.0	1011.0	183.0	Local transmission	0.0												
Netherlands	 	14697.0	1083.0	1339.0	166.0	Local transmission	0.0												
Austria	 	11129.0	418.0	158.0	12.0	Local transmission	0.0												
Portugal	 	9034.0	783.0	209.0	22.0	Local transmission	0.0												
Israel	 	6211.0	620.0	29.0	8.0	Local transmission	0.0												
Sweden	 	5466.0	519.0	282.0	43.0	Local transmission	0.0												
Norway	 	4935.0	270.0	42.0	10.0	Local transmission	0.0												
Czechia	 	3858.0	269.0	44.0	5.0	Local transmission	0.0												
Ireland	 	3849.0	402.0	98.0	13.0	Local transmission	0.0												
Russian Federation	3548.0	771.0	30.0	6.0	Local transmission	0.0	 												
Denmark	3386.0	279.0	123.0	19.0	Local transmission	0.0	 												
Poland	2946.0	392.0	57.0	14.0	Local transmission	0.0	 												
Romania	2738.0	278.0	94.0	9.0	Local transmission	0.0	 												
Luxembourg	2487.0	168.0	30.0	1.0	Local transmission	0.0	 												
Finland	1518.0	72.0	19.0	2.0	Local transmission	0.0	 												
Greece	1514.0	139.0	53.0	3.0	Local transmission	0.0	 												
Iceland	1319.0	99.0	4.0	2.0	Local transmission	0.0	 												
Serbia	1171.0	111.0	13.0	0.0	Local transmission	0.0	 												
Croatia	1011.0	48.0	7.0	1.0	Local transmission	0.0	 												
Ukraine	987.0	183.0	23.0	3.0	Local transmission	0.0	 												
Republic of Moldova	591.0	168.0	8.0	3.0	Local transmission	0.0	 												
Slovenia	897.0	56.0	16.0	1.0	Local transmission	0.0	 												
Estonia	858.0	79.0	11.0	6.0	Local transmission	0.0	 												
Lithuania	649.0	68.0	9.0	1.0	Local transmission	0.0	 												
Armenia	640.0	69.0	4.0	1.0	Local transmission	0.0	 												
Hungary	585.0	60.0	21.0	1.0	Local transmission	0.0	 												
Bosnia and Herzegovina	521.0	57.0	16.0	3.0	Local transmission	0.0	 												
Latvia	458.0	12.0	0.0	0.0	Local transmission	0.0	 												
Bulgaria	457.0	35.0	10.0	0.0	Local transmission	0.0	 												
Kazakhstan	435.0	49.0	3.0	0.0	Local transmission	0.0	 												
Andorra	429.0	33.0	15.0	2.0	Local transmission	0.0	 												
Slovakia	426.0	26.0	0.0	0.0	Local transmission	0.0	 												
Azerbaijan	400.0	41.0	5.0	0.0	Local transmission	0.0	 												
North Macedonia	384.0	30.0	11.0	0.0	Local transmission	0.0	 												
Cyprus	356.0	36.0	9.0	0.0	Local transmission	0.0	 												
Albania	277.0	0.0	16.0	1.0	Local transmission	1.0	 												
Belarus	254.0	62.0	4.0	2.0	Local transmission	0.0	 												
San Marino	245.0	9.0	30.0	2.0	Local transmission	0.0	 												
Uzbekistan	221.0	31.0	2.0	0.0	Local transmission	0.0	 												
Malta	195.0	7.0	0.0	0.0	Local transmission	0.0	 												
Georgia	148.0	27.0	0.0	0.0	Local transmission	0.0	 												
Montenegro	140.0	20.0	2.0	0.0	Local transmission	0.0	 												
Kyrgyzstan	130.0	15.0	1.0	1.0	Local transmission	0.0	 												
Liechtenstein	75.0	3.0	0.0	0.0	Under investigation	0.0	 												
Monaco	37.0	0.0	0.0	0.0	Local transmission	2.0	 												
Holy See	7.0	1.0	0.0	0.0	Under investigation	0.0	 												
Territories**	 	 	 	 	 	 	 												
Faroe Islands	177.0	4.0	0.0	0.0	Local transmission	0.0	 												
Kosovo[1]	126.0	1.0	1.0	0.0	Local transmission	0.0	 												
Gibraltar	81.0	12.0	0.0	0.0	Local transmission	0.0	 												
Jersey	81.0	0.0	2.0	0.0	Local transmission	1.0	 												
Guernsey	91.0	13.0	1.0	0.0	Local transmission	0.0	 												
Isle of Man	71.0	6.0	1.0	1.0	Local transmission	0.0	 												
Greenland	10.0	0.0	0.0	0.0	Under investigation	5.0	 												
South-East Asia Region	 	 	 	 	 	 	 												
India	1965.0	329.0	50.0	12.0	Local transmission	0.0	 												
Thailand	1875.0	104.0	15.0	3.0	Local transmission	0.0	 												
Indonesia	1790.0	113.0	170.0	13.0	Local transmission	0.0	 												
								Bangladesh	56.0	2.0	6.0	0.0	Local transmission	0.0					
								Maldives	19.0	1.0	0.0	0.0	Local transmission	0.0					
								Myanmar	16.0	1.0	1.0	0.0	Local transmission	0.0					
								Nepal	6.0	1.0	0.0	0.0	Imported cases only	0.0					
								Bhutan	5.0	1.0	0.0	0.0	Imported cases only	0.0					
								Timor-Leste	1.0	0.0	0.0	0.0	Imported cases only	13.0					
								Eastern Mediterranean Region	 	 	 	 	 	 					
								Iran (Islamic Republic of)	50468.0	2875.0	3160.0	124.0	Local transmission	0.0					
								Pakistan	2450.0	159.0	35.0	4.0	Local transmission	0.0					
								Saudi Arabia	1885.0	165.0	21.0	5.0	Local transmission	0.0					
								United Arab Emirates	1024.0	210.0	8.0	0.0	Local transmission	0.0					
								Qatar	949.0	114.0	3.0	1.0	Local transmission	0.0					
								Egypt	865.0	86.0	58.0	6.0	Local transmission	0.0					
								Iraq	772.0	44.0	54.0	2.0	Local transmission	0.0					
								Morocco	735.0	59.0	47.0	8.0	Local transmission	0.0					
								Bahrain	643.0	74.0	4.0	0.0	Local transmission	0.0					
								Lebanon	508.0	29.0	17.0	5.0	Local transmission	0.0					
								Tunisia	455.0	32.0	14.0	2.0	Local transmission	0.0					
								Kuwait	417.0	75.0	0.0	0.0	Local transmission	0.0					
								Jordan	299.0	21.0	5.0	0.0	Local transmission	0.0					
								Afghanistan	269.0	34.0	5.0	1.0	Local transmission	0.0					
								Oman	252.0	21.0	1.0	0.0	Local transmission	0.0					
								Djibouti	41.0	7.0	0.0	0.0	Local transmission	0.0					
								Syrian Arab Republic	16.0	6.0	2.0	0.0	Imported cases only	0.0					
								Libya	10.0	0.0	1.0	1.0	Local transmission	2.0					
								Sudan	8.0	1.0	2.0	0.0	Local transmission	0.0					
								Somalia	5.0	0.0	0.0	0.0	Imported cases only	2.0					
								Territories**	 	 	 	 	 	 					
								occupied Palestinian territory	165.0	31.0	1.0	0.0	Local transmission	0.0					
								Region of the Americas	 	 	 	 	 	 					
								United States of America	213600.0	26298.0	4793.0	947.0	Local transmission	0.0					
								Canada	10114.0	1109.0	127.0	22.0	Local transmission	0.0					
								Brazil	6836.0	1119.0	241.0	40.0	Local transmission	0.0					
								Chile	3404.0	373.0	18.0	2.0	Local transmission	0.0					
								Ecuador	3163.0	791.0	120.0	0.0	Local transmission	0.0					
								Dominican Republic	1380.0	96.0	60.0	3.0	Local transmission	0.0					
								Mexico	1378.0	163.0	37.0	8.0	Local transmission	0.0					
								Peru	1323.0	0.0	41.0	17.0	Local transmission	1.0					
								Panama	1317.0	136.0	32.0	2.0	Local transmission	0.0					
								Argentina	1133.0	79.0	31.0	4.0	Local transmission	0.0					
								Colombia	1065.0	159.0	17.0	1.0	Local transmission	0.0					
								Costa Rica	375.0	28.0	2.0	0.0	Local transmission	0.0					
								Uruguay	350.0	12.0	4.0	2.0	Local transmission	0.0					
								Cuba	233.0	21.0	6.0	0.0	Local transmission	0.0					
								Honduras	219.0	47.0	14.0	4.0	Local transmission	0.0					
								Venezuela (Bolivarian Republic of)	144.0	1.0	3.0	0.0	Local transmission	0.0					
								Bolivia (Plurinational State of)	123.0	8.0	8.0	1.0	Local transmission	0.0					
								Trinidad and Tobago	90.0	1.0	5.0	0.0	Local transmission	0.0					
								Paraguay	77.0	8.0	3.0	0.0	Local transmission	0.0					
								Guatemala	47.0	8.0	1.0	0.0	Local transmission	0.0					
								Barbados	45.0	12.0	0.0	0.0	Local transmission	0.0					
								Jamaica	44.0	6.0	3.0	2.0	Local transmission	0.0					
								El Salvador	41.0	9.0	2.0	1.0	Local transmission	0.0					
								Bahamas	21.0	6.0	1.0	1.0	Local transmission	0.0					
								Guyana	19.0	0.0	4.0	2.0	Local transmission	1.0					
								Haiti	16.0	0.0	0.0	0.0	Imported cases only	1.0					
								Saint Lucia	13.0	0.0	0.0	0.0	Local transmission	1.0					
								Dominica	11.0	0.0	0.0	0.0	Local transmission	7.0					
								Grenada	10.0	1.0	0.0	0.0	Local transmission	0.0					
								Saint Kitts and Nevis	8.0	0.0	0.0	0.0	Imported cases only	2.0					
								Suriname	8.0	0.0	0.0	0.0	Imported cases only	6.0					
								Antigua and Barbuda	7.0	0.0	0.0	0.0	Imported cases only	6.0					
								Nicaragua	5.0	0.0	1.0	0.0	Imported cases only	1.0					
								Belize	3.0	0.0	0.0	0.0	Local transmission	3.0					
								Saint Vincent and the Grenadines	2.0	1.0	0.0	0.0	Imported cases only	0.0					
								Territories**	 	 	 	 	 	 					
								Puerto Rico	316.0	30.0	12.0	1.0	Local transmission	0.0					
								Martinique	131.0	3.0	3.0	0.0	Local transmission	0.0					
								Guadeloupe	128.0	3.0	6.0	0.0	Local transmission	0.0					
								Aruba	60.0	5.0	0.0	0.0	Local transmission	0.0					
								French Guiana	55.0	4.0	0.0	0.0	Local transmission	0.0					
								United States Virgin Islands	33.0	3.0	0.0	0.0	Local transmission	0.0					
								Bermuda	32.0	0.0	0.0	0.0	Local transmission	1.0					
								Cayman Islands	22.0	8.0	1.0	0.0	Local transmission	0.0					
								Saint Martin	22.0	1.0	2.0	0.0	Under investigation	0.0					
								Sint Maarten	18.0	12.0	1.0	1.0	Imported cases only	0.0					
								Curaçao	11.0	0.0	1.0	0.0	Imported cases only	3.0					
								Saint Barthélemy	6.0	0.0	0.0	0.0	Under investigation	3.0					
								Montserrat	5.0	0.0	0.0	0.0	Imported cases only	6.0					
								Turks and Caicos Islands	5.0	0.0	0.0	0.0	Local transmission	3.0					
								British Virgin Islands	3.0	0.0	0.0	0.0	Imported cases only	2.0					
								Anguilla	2.0	0.0	0.0	0.0	Local transmission	7.0					
								African Region	 	 	 	 	 	 					
								South Africa	1462.0	82.0	5.0	0.0	Local transmission	0.0					
								Algeria	986.0	139.0	83.0	25.0	Local transmission	0.0					
								Burkina Faso	261.0	0.0	14.0	0.0	Local transmission	2.0					
								Cameroon	246.0	107.0	7.0	1.0	Local transmission	0.0					
								Ghana	204.0	9.0	5.0	0.0	Local transmission	0.0					
								Senegal	195.0	5.0	1.0	0.0	Local transmission	0.0					
								Côte d’Ivoire	190.0	0.0	1.0	1.0	Local transmission	1.0					
													Local transmission	2.0	Mauritius	169	15	7	0.0
													Local transmission	2.0	Democratic Republic of the Congo	134	11	13	0.0
													Local transmission	2.0	Kenya	110	29	3	0.0
													Local transmission	0.0	Rwanda	84	2	0	0.0
													Local transmission	0.0	Niger	74	0	5	1.0
													Local transmission	0.0	Madagascar	65	12	0	0.0
													Local transmission	0.0	Guinea	52	22	0	0.0
													Local transmission	0.0	Uganda	44	0	0	1.0
													Local transmission	0.0	Congo	41	19	2	0.0
													Local transmission	0.0	Togo	39	3	2	0.0
													Local transmission	1.0	Zambia	39	3	1	0.0
													Local transmission	0.0	Ethiopia	31	5	0	0.0
													Local transmission	3.0	Mali	28	0	3	1.0
													Imported cases only	0.0	Eritrea	20	5	0	0.0
													Local transmission	0.0	United Republic of Tanzania	20	0	1	1.0
													Imported cases only	0.0	Gabon	18	11	1	0.0
													Local transmission	0.0	Equatorial Guinea	15	1	0	0.0
													Imported cases only	0.0	Benin	13	0	0	1.0
													Local transmission	0.0	Namibia	13	2	0	0.0
													Local transmission	0.0	Mozambique	10	0	0	1.0
													Imported cases only	0.0	Seychelles	10	0	0	1.0
													Imported cases only	0.0	Eswatini	9	0	0	6.0
													Imported cases only	0.0	Guinea-Bissau	9	0	0	2.0
													Imported cases only	0.0	Angola	8	0	2	1.0
													Imported cases only	0.0	Central African Republic	8	0	0	1.0
													Local transmission	0.0	Zimbabwe	8	0	1	2.0
													Imported cases only	0.0	Chad	7	0	0	2.0
													Local transmission	0.0	Liberia	6	0	0	1.0
													Imported cases only	0.0	Cabo Verde	5	0	1	6.0
													Imported cases only	0.0	Mauritania	5	0	0	5.0
													Imported cases only	0.0	Botswana	4	1	1	0.0
													Imported cases only	0.0	Gambia	4	1	1	0.0
													Local transmission	0.0	Malawi	3	3	0	0.0
													Imported cases only	0.0	Burundi	2	0	0	2.0
													Imported cases only	0.0	Sierra Leone	2	0	0	1.0
													 	 	Territories**	 	 	 	 
													Local transmission	0.0	Réunion	308	27	0	0.0
													Local transmission	0.0	Mayotte	128	12	2	0.0
													 	4822.0	Subtotal for all regions	971 591	75 828	50 310	 
													Local transmission	0.0	International conveyance (Diamond Princess)	712	0	11	18.0
													 	4822.0	Grand total	972 303	75 828	50 321	 
